nuits	age	numDep	annee
3       51       35     2016
3       30       75     2016
2       49       35     2016
3       32       75     2016
1       55       92     2016
1       35       75     2016
4       52       35     2016
3       51       44     2016
2       53       75     2016
3       52       92     2016
3       34       35     2016
3       49       29     2016
2       53       35     2016
1       42       29     2016
3       35       92     2016
1       40       44     2016
3       43       28     2016
3       47       44     2016
2       42       92     2016
5       30       75     2016
3       45       75     2016
3       37       35     2016
2       36       91     2016
2       38       44     2016
3       48       75     2016
3       47       92     2016
3       31       56     2016
3       51       75     2016
3       31       35     2016
2       44       75     2016
1       47       29     2016
3       49       75     2016
2       34       59     2016
1       38       75     2016
3       32       44     2016
3       33       92     2016
1       47       56     2016
3       53       29     2016
1       30       28     2016
1       44       29     2016
3       48       56     2016
4       36       75     2016
3       53       56     2016
3       55       92     2016
1       52       29     2016
2       38       29     2016
2       36       35     2016
3       40       75     2016
3       36       35     2016
3       44       75     2016
3       51       75     2016
1       53       29     2016
3       55       29     2016
1       30       29     2016
6       51       29     2016
2       43       92     2016
4       49       29     2016
3       33       29     2016
3       43       56     2016
5       51       75     2016
3       36       59     2016
1       40       91     2016
2       48       75     2016
3       32       35     2016
3       48       29     2016
1       45       92     2016
3       47       92     2016
3       47       44     2016
4       50       91     2016
3       31       35     2016
3       34       75     2016
3       44       29     2016
3       37       92     2016
3       40       75     2016
1       53       75     2016
3       51       75     2016
3       55       29     2016
2       55       92     2016
1       44       56     2016
3       42       29     2016
4       53       92     2016
3       54       56     2016
2       40       92     2016
1       44       75     2016
1       54       35     2016
3       35       56     2016
2       52       56     2016
1       36       92     2016
2       51       56     2016
4       44       75     2016
3       50       75     2016
5       42       28     2016
2       40       92     2016
1       52       75     2016
14      34       44     2016
3       41       92     2016
2       37       92     2016
1       41       29     2016
1       30       56     2016
1       47       56     2016
6       45       91     2017
3       40       91     2017
2       27       56     2017
1       36       56     2017
2       48       75     2017
2       32       75     2017
1       37       75     2017
3       21       35     2017
1       30       91     2017
2       23       75     2017
2       39       75     2017
3       36       92     2017
3       30       92     2017
3       45       75     2017
3       23       91     2017
1       21       35     2017
3       33       75     2017
1       25       56     2017
3       37       29     2017
2       26       29     2017
1       36       75     2017
4       28       75     2017
3       39       35     2017
4       45       44     2017
1       45       75     2017
3       22       44     2017
3       34       35     2017
2       32       44     2017
3       28       56     2017
3       29       75     2017
10      20       75     2017
4       30       29     2017
3       27       44     2017
2       30       35     2017
3       48       29     2017
2       40       92     2017
3       32       29     2017
2       20       75     2017
3       46       56     2017
1       47       92     2017
2       46       29     2017
1       33       75     2017
2       25       92     2017
3       27       35     2017
3       35       75     2017
2       36       75     2017
4       20       75     2017
1       43       56     2017
3       45       35     2017
3       45       29     2017
3       26       56     2017
3       32       92     2017
5       37       44     2017
3       29       75     2017
4       37       35     2017
3       47       75     2017
3       25       44     2017
2       46       29     2017
3       29       92     2017
6       24       92     2017
1       43       35     2017
2       32       33     2017
3       45       35     2017
2       22       92     2017
8       22       56     2017
2       22       44     2017
2       32       56     2017
4       35       28     2017
4       41       92     2017
2       33       56     2017
2       29       29     2017
2       39       92     2017
2       35       29     2017
1       29       29     2017
3       21       92     2017
3       42       92     2017
1       35       75     2017
2       29       35     2017
2       37       35     2017
1       48       75     2017
3       30       33     2017
3       40       75     2017
2       26       28     2017
2       43       56     2017
2       42       75     2017
1       43       56     2017
2       36       75     2017
3       21       75     2017
3       20       35     2017
3       33       75     2017
1       24       75     2017
2       35       75     2017
2       41       29     2017
2       28       56     2017
2       25       44     2017
4       27       92     2017
3       39       75     2017
4       25       92     2017
3       21       92     2017
1       40       75     2017

